Title,Url,Image,Price
Naturino Girl's (Sizes 30-34) Pavia Black/Gold,https://tiptopshoes.com/collections/girls/products/naturino-girls-sizes-30-34-pavia-black-gold,https://cdn.shopify.com/s/files/1/1974/6675/products/naturino-girls-sizes-30-34-pavia-blackgold-1067471-956983_600x600.jpg?v=1663866024,$65.00
UGG Girl's Funkette Chestnut,https://tiptopshoes.com/collections/girls/products/ugg-girls-funkette-chestnut,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-funkette-chestnut-1066232-tip-top-shoes-of-new-york-289697_600x600.jpg?v=1690664187,$85.00
UGG Girl's Classic II Chestnut (Sizes 5-6),https://tiptopshoes.com/collections/girls/products/ugg-classic-chestnut-6,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-classic-ii-chestnut-sizes-5-6-652040-478285_600x600.jpg?v=1635255967,$139.95
Birkenstock Girl's Arizona Soft Pink Wool,https://tiptopshoes.com/collections/girls/products/birkenstock-girls-arizona-soft-pink-wool,https://cdn.shopify.com/s/files/1/1974/6675/products/birkenstock-girls-arizona-soft-pink-wool-1052123-996758_600x600.jpg?v=1635608012,$49.99
UGG Girl's Bailey Bow II Chestnut (Sizes 13-4),https://tiptopshoes.com/collections/girls/products/ugg-girls-bailey-bow-ii-chestnut-sizes-13-4,https://cdn.shopify.com/s/files/1/1974/6675/products/ugg-girls-bailey-bow-ii-chestnut-sizes-13-4-652725-863250_600x600.jpg?v=1635255965,$149.95
Hunter Original Kids Boot Socks Powder Blue,https://tiptopshoes.com/collections/girls/products/hunter-welsock-kids-ltblue,https://cdn.shopify.com/s/files/1/1974/6675/products/hunter-original-kids-boot-socks-powder-blue-404259103015-345035_600x600.jpg?v=1635255121,$25.00
Hunter Original Kids' Rain Boots Navy,https://tiptopshoes.com/collections/girls/products/hunter-org-navy-rubber,https://cdn.shopify.com/s/files/1/1974/6675/products/hunter-original-kids-rain-boots-navy-403492806011-547838_600x600.jpg?v=1653027113,$89.95
Hunter Original Kids Chelsea Boots Black,https://tiptopshoes.com/collections/girls/products/hunter-original-kids-chelsea-boots-black,https://cdn.shopify.com/s/files/1/1974/6675/products/hunter-original-kids-chelsea-boots-black-540464-334363_600x600.jpg?v=1635255108,$89.95
Hunter Original Kids Boot Socks Yellow,https://tiptopshoes.com/collections/girls/products/hunter-welsock-kids-yel,https://cdn.shopify.com/s/files/1/1974/6675/products/hunter-original-kids-boot-socks-yellow-586813-545725_600x600.jpg?v=1635255097,$25.00
Havaianas Kids Slim Frozen 2 Anna/Elsa,https://tiptopshoes.com/collections/girls/products/havaianas-kids-slim-frozen-2-anna-elsa,https://cdn.shopify.com/s/files/1/1974/6675/products/havaianas-kids-slim-frozen-2-annaelsa-960129-897712_600x600.jpg?v=1635255101,$20.00
Naturino Girl's Catania 62 Black Patent (Sizes 36-38),https://tiptopshoes.com/collections/girls/products/naturino-girls-catania-62-black-patent-sizes-36-38,https://cdn.shopify.com/s/files/1/1974/6675/products/naturino-girls-catania-62-black-patent-sizes-36-38-922540-694298_600x600.jpg?v=1635255392,$79.95
